host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
51,1,0,93.2034,2,-1,-1,3,Null,3,7.2,96.2,-93.2,0.8,Null,Null,Null,123,-120,-2,122.2,-129.2,-4
52,1,0,97.8018,2,-1,-1,3,Null,3,7.2,100.8,-97.8,-0.6,Null,Null,Null,122.4,-119.4,-1.6,108,-115.2,-5.6
52,1,0,94.0019,2,-1,-1,3,8.4,3,7.2,97,-94,0.6,101.8,-109.2,-4.2,123.6,-120.6,-2.2,185.6,-192.2,4.6
52,1,0,93.8053,2,-1,-1,2.8,8.4,3,7.2,96.6,-93.8,1,156.2,-162.6,-14.8,111.4,-108.4,-3.6,140.8,-147.4,0.8
52,1,0,92.4054,2,-1,-1,2.8,8.4,3,7.2,95.2,-92.4,1,78.2,-86.2,1.6,108.6,-105.6,-3.6,140.6,-147.2,2
52,1,0,89.4224,2,-1,-1,2.8,8.4,3,7.2,92.2,-89.4,2,68.2,-76.2,3.4,101.8,-98.8,-4.4,154,-160.6,2.6
52,1,0,94.8002,2,-1,-1,2.8,8.4,3,7.2,97.6,-94.8,0.2,99,-106.2,-4.4,103.6,-100.6,-4,115.4,-122.2,-1.4
52,1,0,96.6,2,-1,-1,2.8,8.4,3,7.2,99.4,-96.6,0,96.8,-104.2,-3,109.8,-106.8,-3.8,79.6,-86.6,-6.4
52,1,0,95.6002,2,-1,-1,2.8,8.4,3,7.4,98.4,-95.6,0.2,108.8,-115.8,-6.4,124.8,-121.8,-1.2,86.2,-93.4,-6.4
52,1,0,95.2008,2,-1,-1,2.8,8.4,3,7.4,98,-95.2,0.4,130.6,-137.2,-11.4,124.8,-121.8,-1.2,86.2,-93.4,-6.4
52,1,0,90.408,2,-1,-1,2.8,8.4,3,7.4,93.2,-90.4,1.2,167.4,-173.4,-17.6,112,-109,-3.2,92.8,-100,-5.2
52,1,0,94.2019,2,-1,-1,2.8,8.4,3,7.2,97,-94.2,0.6,124.6,-131.2,-10.2,94.8,-91.8,-5.4,141.4,-147.8,3.4
51,1,0,91.2055,2,-1,-1,2.8,8.4,3,7.2,94,-91.2,1,101.6,-109,-4.4,101.4,-98.4,-4,134.4,-141,2.2
51,1,0,102.8125,2,-1,-1,2.8,8.6,3,7.4,105.8,-102.8,-1.6,67,-75.2,3.4,103.6,-100.6,-4.2,70.8,-78.2,-9
52,1,0,104.0123,2,-1,-1,2.8,8.4,3,7.2,107,-104,-1.6,164.6,-170.2,-19.4,105,-102,-3.8,120.2,-127,-0.8
51,1,0,98.2008,2,-1,-1,2.8,8.4,3,7.2,101,-98.2,-0.4,104.4,-111.6,-5.4,113,-110,-3,214,-219.6,15.4
52,1,0,96.2019,2,-1,-1,2.8,8.4,3,7.4,99,-96.2,0.6,112.6,-119.6,-7,116.2,-113.2,-2.4,82.4,-89.6,-6
51,1,0,93.4077,2,-1,-1,2.8,8.4,3,7.4,96.2,-93.4,1.2,89.8,-97.4,-1.6,123,-120,-0.6,68.4,-75.8,-8.4
52,1,0,92.0176,2,-1,-1,2.8,8.4,2.8,7.4,94.8,-92,1.8,86.6,-94.4,-0.2,96.4,-93.6,-4.8,118.8,-125.6,-0.2
51,1,0,97.4018,2,-1,-1,2.8,8.4,2.8,7.4,100.2,-97.4,0.6,102.8,-110.4,-2.8,84.6,-81.8,-5.6,99,-106,-2.6
51,1,0,89.6377,2,-1,-1,2.8,8.4,2.8,7.4,92.4,-89.6,2.6,88.8,-96.6,-0.2,90.2,-87.4,-4.6,103.4,-110.2,-1.2
51,1,0,98.4073,2,-1,-1,2.8,8.4,2.8,7.6,101.2,-98.4,1.2,93.4,-101,-1.4,93,-90.2,-3.6,86.2,-93.6,-5.2
53,1,0,89.0505,2,-1,-1,2.8,8.4,2.8,7.6,91.8,-89,3,123.4,-130.6,-6.6,83,-80.2,-6,91.8,-99,-3.8
53,1,0,99.405,2,-1,-1,2.8,8.2,2.8,7.6,102.2,-99.4,1,131.2,-138,-9.4,98.4,-95.6,-3.2,89,-96.4,-5.2
53,1,0,107.8119,2,-1,-1,3,8.2,2.8,7.4,100.4,-97.4,1.2,176,-181.8,-19,110.6,-107.8,-1.6,122.2,-128.8,2.4
52,1,0,93.8852,2,-1,-1,3,8.2,2.8,7.6,103.4,-100.4,0.4,183,-188.8,-19.6,96.6,-93.8,-4,78,-85.4,-5.8
52,1,0,88.89,2,-1,-1,3,8.2,2.8,7.4,109.8,-106.8,-0.8,119.6,-126.6,-6.2,91.6,-88.8,-4,107.4,-114.2,-0.2
52,1,0,82.507,2,-1,-1,3,8.2,2.8,7.6,101,-98,1.6,116.6,-123.8,-5.2,85.2,-82.4,-4.2,82,-89.4,-5.4
52,1,0,84.6945,2,-1,-1,3,8.2,2.8,7.4,108.8,-105.8,-0.2,112.6,-120,-4,87.4,-84.6,-4,103.6,-110.6,-1.2
